Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Pathogenic Escherichia coli infection,5/197,3.2166068385312056e-06,0.00023635415530890873,0,0,27.11622807017544,342.94391306856807,TUBB8;JUN;CASP1;TUBB4B;TUBB4A
KEGG_2021_Human,Gap junction,4/88,3.475796401601599e-06,0.00023635415530890873,0,0,47.36190476190476,595.3243150235196,TUBB8;PRKCA;TUBB4B;TUBB4A
Reactome_2022,Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907,3/17,1.0209769829080985e-06,0.0002766847623680946,0,0,203.6938775510204,2809.906231967641,RPS6KA3;RPS6KA1;PRKCA
KEGG_2021_Human,HIF-1 signaling pathway,4/109,8.15404729119719e-06,0.00034217571962137584,0,0,37.84952380952381,443.4827249004744,TFRC;PGK1;PRKCA;PGK2
KEGG_2021_Human,Salmonella infection,5/249,1.0063991753569878e-05,0.00034217571962137584,0,0,21.28127696289905,244.87400672838984,TUBB8;JUN;CASP1;TUBB4B;TUBB4A
KEGG_2021_Human,Yersinia infection,4/137,2.012762563315192e-05,0.0005474714172217323,0,0,29.839097744360902,322.6626150767574,RPS6KA3;JUN;RPS6KA1;CASP1
Reactome_2022,MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282,3/30,6.033858309199734e-06,0.0006029832194785933,0,0,105.55026455026454,1268.516156997622,RPS6KA3;JUN;RPS6KA1
Reactome_2022,Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,3/31,6.675090990537933e-06,0.0006029832194785933,0,0,101.77551020408164,1212.8717540971234,TUBB8;TUBB4B;TUBB4A
KEGG_2021_Human,Phagosome,4/152,3.0267327982233596e-05,0.0006860594342639615,0,0,26.794594594594596,278.80959224082557,TUBB8;TFRC;TUBB4B;TUBB4A
Reactome_2022,Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,3/41,1.570609485653805e-05,0.0010640879265304,0,0,74.95488721804512,829.1106152036315,TUBB8;TUBB4B;TUBB4A
GO_Cellular_Component_2023,Microtubule Cytoskeleton (GO:0015630),5/342,4.618780214031755e-05,0.001172673889875,0,0,15.335780103076685,153.09394613797613,TUBB8;CASP1;TTK;TUBB4B;TUBB4A
GO_Cellular_Component_2023,Microtubule (GO:0005874),4/185,6.514854943750356e-05,0.001172673889875,0,0,21.87292817679558,210.82966639294423,TUBB8;CASP1;TUBB4B;TUBB4A
GO_Cellular_Component_2023,Spindle (GO:0005819),4/210,0.00010643644424103063,0.0012772373308923,0,0,19.194174757281555,175.58759125586377,TUBB8;TTK;TUBB4B;TUBB4A
Reactome_2022,RSK Activation R-HSA-444257,2/7,2.88738312533813e-05,0.001304134711611,0,0,363.1090909090909,3795.424957257872,RPS6KA3;RPS6KA1
Reactome_2022,CREB Phosphorylation R-HSA-199920,2/7,2.88738312533813e-05,0.001304134711611,0,0,363.1090909090909,3795.424957257872,RPS6KA3;RPS6KA1
KEGG_2021_Human,Long-term potentiation,3/67,6.915234345700029e-05,0.0013435312443074,0,0,44.44642857142857,425.7611668333648,RPS6KA3;RPS6KA1;PRKCA
GO_Biological_Process_2023,Gluconeogenesis (GO:0006094),3/32,7.359826469067412e-06,0.0017536755765127,0,0,98.26108374384236,1161.3943444764195,KHSRP;PGK1;PGK2
GO_Biological_Process_2023,Hexose Biosynthetic Process (GO:0019319),3/35,9.68881533984934e-06,0.0017536755765127,0,0,89.03571428571429,1027.876222140858,KHSRP;PGK1;PGK2
Reactome_2022,Post NMDA Receptor Activation Events R-HSA-438064,3/61,5.219853686082974e-05,0.0018566736434972,0,0,49.05911330049261,483.7452326587892,RPS6KA3;RPS6KA1;PRKCA
Reactome_2022,MAP Kinase Activation R-HSA-450294,3/62,5.480955405157966e-05,0.0018566736434972,0,0,48.22518159806295,473.16841182341153,RPS6KA3;JUN;RPS6KA1
Reactome_2022,Interleukin-17 Signaling R-HSA-448424,3/69,7.551342104020782e-05,0.0020192158895184,0,0,43.095238095238095,409.02553050588386,RPS6KA3;JUN;RPS6KA1
Reactome_2022,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,3/69,7.551342104020782e-05,0.0020192158895184,0,0,43.095238095238095,409.02553050588386,PRKCA;TUBB4B;TUBB4A
Reactome_2022,AURKA Activation By TPX2 R-HSA-8854518,3/72,8.575412779016238e-05,0.0020192158895184,0,0,41.21532091097309,385.9413504398234,PRKCA;TUBB4B;TUBB4A
Reactome_2022,Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,3/74,9.306144097509942e-05,0.0020192158895184,0,0,40.05030181086519,371.7569391075242,RPS6KA3;RPS6KA1;PRKCA
Reactome_2022,Nuclear Envelope (NE) Reassembly R-HSA-2995410,3/75,9.6862754847748e-05,0.0020192158895184,0,0,39.492063492063494,364.99416053763736,TUBB8;TUBB4B;TUBB4A
Reactome_2022,Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,3/80,0.00011739350481991088,0.0020632035811502,0,0,36.91836734693877,334.1104483665693,PRKCA;TUBB4B;TUBB4A
Reactome_2022,Centrosome Maturation R-HSA-380287,3/81,0.00012181275755868716,0.0020632035811502,0,0,36.443223443223445,328.4637009682853,PRKCA;TUBB4B;TUBB4A
Reactome_2022,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,3/81,0.00012181275755868716,0.0020632035811502,0,0,36.443223443223445,328.4637009682853,RPS6KA3;JUN;RPS6KA1
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber (GO:0099513),4/265,0.0002598056782462691,0.0023382511042164,0,0,15.10727969348659,124.7193046931424,TUBB8;CASP1;TUBB4B;TUBB4A
Reactome_2022,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,3/87,0.0001506180773374903,0.0024010293504976,0,0,33.82993197278912,297.72922085044587,PRKCA;TUBB4B;TUBB4A
