Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,1/130,0.4299451202867729,0.4499647378611016,0,0,1.80437756497948,1.523070962778997,TLN1
GO_Molecular_Function_2023,Phosphatidylinositol Phosphate Binding (GO:1901981),1/109,0.3756132178677732,0.4499920728910946,0,0,2.157516339869281,2.112629947971675,ARAP1
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor Production (GO:0032680),1/127,0.4224795359492009,0.4507557253631239,0,0,1.8476190476190475,1.5919349350699237,CD2
GO_Biological_Process_2023,Protein Targeting (GO:0006605),1/129,0.4274672521090908,0.4554795228895031,0,0,1.8185661764705885,1.5455586516680218,AP4B1
GO_Molecular_Function_2023,Adenyl Ribonucleotide Binding (GO:0032559),2/309,0.3844473192214566,0.4560600551548651,0,0,1.520629750271444,1.4536437448713306,STK17B;OXSR1
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",1/119,0.4020955844211759,0.4562786773573627,0,0,1.973678963110668,1.79815070564473,MAPK3
KEGG_2021_Human,Sphingolipid signaling pathway,1/119,0.4020955844211759,0.4562786773573627,0,0,1.973678963110668,1.79815070564473,MAPK3
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),1/130,0.4299451202867729,0.4575201345460032,0,0,1.80437756497948,1.523070962778997,ARL2BP
Reactome_2022,Cell Surface Interactions At Vascular Wall R-HSA-202733,1/134,0.4397510418557994,0.4592090525573835,0,0,1.7497567448031843,1.4375065753304217,CD2
GO_Biological_Process_2023,Non-Membrane-Bounded Organelle Assembly (GO:0140694),1/135,0.4421763570892993,0.4699207559654907,0,0,1.736611062335382,1.417155342018229,UBAP2L
