Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,P-body (GO:0000932),2/83,0.0009133769584394868,0.0401885861713374,0,0,54.617283950617285,382.2315181899198,DCP1A;SYNE1
GO_Biological_Process_2023,Methylguanosine-Cap Decapping (GO:0110156),1/11,0.0060348187277604,0.0452611404582034,0,0,199.79,1020.9687483548148,DCP1A
GO_Biological_Process_2023,"Negative Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000515)",1/11,0.0060348187277604,0.0452611404582034,0,0,199.79,1020.9687483548148,VSIR
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Metabolic Process (GO:0090205),1/10,0.0054875676690229,0.0452611404582034,0,0,222.0,1155.5699775561973,LDLRAP1
GO_Biological_Process_2023,Negative Regulation Of Alpha-Beta T Cell Activation (GO:0046636),1/10,0.0054875676690229,0.0452611404582034,0,0,222.0,1155.5699775561973,VSIR
GO_Biological_Process_2023,Negative Regulation Of Interleukin-17 Production (GO:0032700),1/10,0.0054875676690229,0.0452611404582034,0,0,222.0,1155.5699775561973,VSIR
GO_Biological_Process_2023,Regulation Of Low-Density Lipoprotein Particle Clearance (GO:0010988),1/10,0.0054875676690229,0.0452611404582034,0,0,222.0,1155.5699775561973,LDLRAP1
GO_Biological_Process_2023,Negative Regulation Of Alpha-Beta T Cell Proliferation (GO:0046642),1/9,0.004940042922945,0.0452611404582034,0,0,249.7625,1326.3340991921912,VSIR
GO_Biological_Process_2023,Negative Regulation Of Hormone Secretion (GO:0046888),1/9,0.004940042922945,0.0452611404582034,0,0,249.7625,1326.3340991921912,RAB11FIP5
GO_Biological_Process_2023,"Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000561)",1/9,0.004940042922945,0.0452611404582034,0,0,249.7625,1326.3340991921912,VSIR
GO_Biological_Process_2023,Positive Regulation Of Lipoprotein Particle Clearance (GO:0010986),1/5,0.0027472053583369,0.0452611404582034,0,0,499.625,2946.3741195064317,LDLRAP1
GO_Biological_Process_2023,Embryonic Placenta Development (GO:0001892),1/8,0.004392244396163,0.0452611404582034,0,0,285.45714285714286,1549.43708775113,TFEB
GO_Biological_Process_2023,"Regulation Of CD8-positive, Alpha-Beta T Cell Proliferation (GO:2000564)",1/8,0.004392244396163,0.0452611404582034,0,0,285.45714285714286,1549.43708775113,VSIR
GO_Biological_Process_2023,Deadenylation-Dependent Decapping Of Nuclear-Transcribed mRNA (GO:0000290),1/7,0.0038441720045859,0.0452611404582034,0,0,333.05,1852.1566750462312,DCP1A
GO_Biological_Process_2023,"Negative Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001186)",1/7,0.0038441720045859,0.0452611404582034,0,0,333.05,1852.1566750462312,VSIR
GO_Biological_Process_2023,Positive Regulation Of Steroid Metabolic Process (GO:0045940),1/6,0.0032958256764104,0.0452611404582034,0,0,399.68,2284.210591570385,LDLRAP1
GO_Biological_Process_2023,Regulation Of Adiponectin Secretion (GO:0070163),1/6,0.0032958256764104,0.0452611404582034,0,0,399.68,2284.210591570385,RAB11FIP5
GO_Biological_Process_2023,Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0035773),1/6,0.0032958256764104,0.0452611404582034,0,0,399.68,2284.210591570385,RAB11FIP5
GO_Biological_Process_2023,"Negative Regulation Of CD4-positive, Alpha-Beta T Cell Proliferation (GO:2000562)",1/6,0.0032958256764104,0.0452611404582034,0,0,399.68,2284.210591570385,VSIR
GO_Biological_Process_2023,Positive Regulation Of Vesicle Fusion (GO:0031340),1/5,0.0027472053583369,0.0452611404582034,0,0,499.625,2946.3741195064317,C2CD5
GO_Biological_Process_2023,Regulation Of Vesicle Fusion (GO:0031338),1/8,0.004392244396163,0.0452611404582034,0,0,285.45714285714286,1549.43708775113,C2CD5
GO_Biological_Process_2023,Regulation Of Glucose Transmembrane Transport (GO:0010827),1/17,0.0093125834341288,0.0465629171706441,0,0,124.83125,583.7594513941907,C2CD5
GO_Biological_Process_2023,Amyloid Precursor Protein Metabolic Process (GO:0042982),1/17,0.0093125834341288,0.0465629171706441,0,0,124.83125,583.7594513941907,LDLRAP1
GO_Biological_Process_2023,Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591),1/17,0.0093125834341288,0.0465629171706441,0,0,124.83125,583.7594513941907,VSIR
GO_Biological_Process_2023,Response To Acidic pH (GO:0010447),1/17,0.0093125834341288,0.0465629171706441,0,0,124.83125,583.7594513941907,RAB11FIP5
GO_Biological_Process_2023,Positive Regulation Of Collagen Metabolic Process (GO:0010714),1/16,0.0087669723009575,0.0465629171706441,0,0,133.16,630.7474630602054,VSIR
GO_Biological_Process_2023,Intracellular Cholesterol Transport (GO:0032367),1/16,0.0087669723009575,0.0465629171706441,0,0,133.16,630.7474630602054,LDLRAP1
GO_Biological_Process_2023,Negative Regulation Of Interleukin-10 Production (GO:0032693),1/16,0.0087669723009575,0.0465629171706441,0,0,133.16,630.7474630602054,VSIR
GO_Biological_Process_2023,Positive Regulation Of Transmembrane Transport (GO:0034764),1/15,0.0082210881236714,0.0465629171706441,0,0,142.67857142857142,685.0073410932765,C2CD5
GO_Biological_Process_2023,Protein Localization To Cell-Cell Junction (GO:0150105),1/15,0.0082210881236714,0.0465629171706441,0,0,142.67857142857142,685.0073410932765,ARHGEF18
GO_Biological_Process_2023,Cellular Response To Acidic pH (GO:0071468),1/12,0.0065817961978748,0.0465629171706441,0,0,181.61818181818185,912.3494182081016,RAB11FIP5
GO_Biological_Process_2023,Positive Regulation Of Endopeptidase Activity (GO:0010950),1/29,0.0158386617716755,0.0465842993284574,0,0,71.28928571428571,295.5155744703354,VSIR
GO_Biological_Process_2023,Morphogenesis Of An Epithelium (GO:0002009),1/29,0.0158386617716755,0.0465842993284574,0,0,71.28928571428571,295.5155744703354,ARHGAP12
GO_Biological_Process_2023,Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232),1/28,0.0152963180805092,0.0465842993284574,0,0,73.93333333333334,309.05191525436794,ARHGEF18
GO_Biological_Process_2023,Negative Regulation Of Type II Interferon Production (GO:0032689),1/28,0.0152963180805092,0.0465842993284574,0,0,73.93333333333334,309.05191525436794,VSIR
GO_Biological_Process_2023,Regulation Of Protein Targeting To Membrane (GO:0090313),1/28,0.0152963180805092,0.0465842993284574,0,0,73.93333333333334,309.05191525436794,C2CD5
GO_Biological_Process_2023,Regulation Of Protein Localization To Membrane (GO:1905475),1/28,0.0152963180805092,0.0465842993284574,0,0,73.93333333333334,309.05191525436794,LDLRAP1
GO_Biological_Process_2023,In Utero Embryonic Development (GO:0001701),1/27,0.014753702756032,0.0465842993284574,0,0,76.78076923076924,323.7277777065472,TFEB
GO_Biological_Process_2023,Nucleic Acid Phosphodiester Bond Hydrolysis (GO:0090305),1/26,0.0142108156769532,0.0465842993284574,0,0,79.856,339.6876146735057,DCP1A
GO_Biological_Process_2023,Plasma Membrane Invagination (GO:0099024),1/26,0.0142108156769532,0.0465842993284574,0,0,79.856,339.6876146735057,ARHGAP12
GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),1/25,0.0136676567242548,0.0465842993284574,0,0,83.1875,357.1008995813401,VSIR
GO_Biological_Process_2023,Negative Regulation Of Stress Fiber Assembly (GO:0051497),1/25,0.0136676567242548,0.0465842993284574,0,0,83.1875,357.1008995813401,ARHGEF18
GO_Biological_Process_2023,Sterol Transport (GO:0015918),1/25,0.0136676567242548,0.0465842993284574,0,0,83.1875,357.1008995813401,LDLRAP1
GO_Biological_Process_2023,Positive Regulation Of Protein Targeting To Membrane (GO:0090314),1/23,0.0125805227255512,0.0465842993284574,0,0,90.75909090909092,397.1259752205777,C2CD5
GO_Biological_Process_2023,Regulation Of Cholesterol Metabolic Process (GO:0090181),1/23,0.0125805227255512,0.0465842993284574,0,0,90.75909090909092,397.1259752205777,LDLRAP1
GO_Biological_Process_2023,Placenta Development (GO:0001890),1/22,0.0120365474388125,0.0465842993284574,0,0,95.08571428571427,420.26056624547704,TFEB
GO_Biological_Process_2023,Regulation Of Regulatory T Cell Differentiation (GO:0045589),1/22,0.0120365474388125,0.0465842993284574,0,0,95.08571428571427,420.26056624547704,VSIR
GO_Biological_Process_2023,Cellular Response To pH (GO:0071467),1/20,0.0109477797028559,0.0465842993284574,0,0,105.10526315789474,474.5101770765117,RAB11FIP5
GO_Biological_Process_2023,Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707),1/20,0.0109477797028559,0.0465842993284574,0,0,105.10526315789474,474.5101770765117,LDLRAP1
GO_Biological_Process_2023,Regulation Of Protein Localization To Cell Periphery (GO:1904375),1/20,0.0109477797028559,0.0465842993284574,0,0,105.10526315789474,474.5101770765117,LDLRAP1
