Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Interleukin-10 Production (GO:0032693),1/16,0.007178349711373,0.0386066539109366,0,0,166.46666666666667,821.7936241053455,VSIR
GO_Biological_Process_2023,Regulation Of Autophagosome Maturation (GO:1901096),1/16,0.007178349711373,0.0386066539109366,0,0,166.46666666666667,821.7936241053455,FYCO1
GO_Biological_Process_2023,Positive Regulation Of Collagen Metabolic Process (GO:0010714),1/16,0.007178349711373,0.0386066539109366,0,0,166.46666666666667,821.7936241053455,VSIR
GO_Biological_Process_2023,Hepaticobiliary System Development (GO:0061008),1/23,0.0103044643785071,0.0386066539109366,0,0,113.46022727272728,519.1007405544717,LSR
GO_Biological_Process_2023,Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591),1/17,0.0076254739654265,0.0386066539109366,0,0,156.0546875,760.9633551596094,VSIR
GO_Biological_Process_2023,Epithelial Structure Maintenance (GO:0010669),1/19,0.0085191858003351,0.0386066539109366,0,0,138.70138888888889,660.9723846479391,LSR
GO_Biological_Process_2023,Regulation Of Lymphocyte Differentiation (GO:0045619),1/19,0.0085191858003351,0.0386066539109366,0,0,138.70138888888889,660.9723846479391,CD2
GO_Biological_Process_2023,Establishment Of Skin Barrier (GO:0061436),1/19,0.0085191858003351,0.0386066539109366,0,0,138.70138888888889,660.9723846479391,LSR
GO_Biological_Process_2023,Negative Regulation Of Alpha-Beta T Cell Proliferation (GO:0046642),1/9,0.0040434660343014,0.0386066539109366,0,0,312.234375,1720.6153032705638,VSIR
GO_Biological_Process_2023,Skin Epidermis Development (GO:0098773),1/21,0.0094121824505319,0.0386066539109366,0,0,124.81875,582.3731356633181,LSR
GO_Biological_Process_2023,Vesicle Transport Along Microtubule (GO:0047496),1/22,0.0098584127261176,0.0386066539109366,0,0,118.86904761904762,549.107257058779,FYCO1
GO_Biological_Process_2023,Natural Killer Cell Mediated Immunity (GO:0002228),1/22,0.0098584127261176,0.0386066539109366,0,0,118.86904761904762,549.107257058779,CD2
GO_Biological_Process_2023,Maintenance Of Protein Location In Nucleus (GO:0051457),1/18,0.0080724193100501,0.0386066539109366,0,0,146.86764705882354,707.7995527019895,SYNE1
GO_Biological_Process_2023,Innate Immune Response In Mucosa (GO:0002227),1/21,0.0094121824505319,0.0386066539109366,0,0,124.81875,582.3731356633181,FAU
GO_Biological_Process_2023,Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902099),1/32,0.0143109010156188,0.0411070907774863,0,0,80.48387096774194,341.7935690237759,PBRM1
GO_Biological_Process_2023,Regulation Of G0 To G1 Transition (GO:0070316),1/33,0.0147551697178423,0.0411070907774863,0,0,77.96484375,328.7123934869669,PBRM1
