Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
The_Kinase_Library_2024,PRKD2,18/789,5.414118515735141e-09,1.7934267583372654e-08,0,0,6.572327763790341,125.09936756422894,SRRM2;VASP;PPP1R12A;YTHDC1;BOD1L1;NOP2;IRF2BP2;GTF2F1;NFKB2;SSH1;MYO1E;MAP7D3;MICAL1;XIRP1;PNPLA6;CIC;TLN1;REPS1
The_Kinase_Library_2024,VRK2,18/790,5.5219702792585034e-09,1.812965463367172e-08,0,0,6.563471502590674,124.80133304735402,SRRM2;RANBP2;NEK9;CENPV;PPP1R12A;JUND;AHNAK;YTHDC1;RGPD8;RPTOR;MTA1;CHEK1;TPR;CEP170;UBAP2L;PNPLA6;CIC;REPS1
The_Kinase_Library_2024,PAK3,18/798,6.458988338250986e-09,2.1020040995536105e-08,0,0,6.493438914027149,122.45192777809017,SRRM2;SPAG9;PPP1R12A;AHNAK;RPS6;DDX20;IRF2BP2;ARAP1;GPATCH8;RPTOR;MYO1E;SH3PXD2A;MAP7D3;TBC1D5;MICAL1;KIF4A;CEP170;CIC
PPI_Hub_Proteins,ESR1,17/591,4.769512363438672e-10,2.1065346271854137e-08,0,0,8.301267484724537,178.17514173309954,SRRM2;JUN;XRCC6;JUND;AHNAK;XRCC5;RPS6;NOP2;TSC2;NUP153;RPS6KA3;MTA1;RPS6KB1;RPS6KA1;UBAP2L;EMD;MAPK3
KEA_2015,MAPK3,11/202,1.072640835712743e-09,2.2310929382825055e-08,0,0,15.145061082024434,312.79309952466565,RPTOR;SRRM2;RPS6KA3;JUN;RPS6KB1;NUP50;RPS6KA1;TSC2;NUP153;CIC;MAPK3
The_Kinase_Library_2024,MEKK6,19/909,7.885401374697362e-09,2.5219688879420013e-08,0,0,6.061646822069428,113.09973827070708,SRRM2;RANBP2;JUND;AHNAK;NOP2;NUP153;GPATCH8;RPTOR;LIMA1;MTA1;MAP7D3;TBC1D5;MICAL1;KIF4A;CEP170;CIC;EMD;EIF4B;REPS1
The_Kinase_Library_2024,CAMK1D,18/808,7.836474865208372e-09,2.5219688879420013e-08,0,0,6.40789277736411,119.59996568424702,SRRM2;VASP;PPP1R12A;FKBP15;AHNAK;BOD1L1;NOP2;DDX20;IRF2BP2;GPATCH8;SSH1;MYO1E;MAP7D3;KIF4A;CEP170;CIC;TLN1;REPS1
The_Kinase_Library_2024,PRKD3,18/810,8.142609298783571e-09,2.5600915676683936e-08,0,0,6.391042780748663,119.04055444044172,SRRM2;EEFSEC;VASP;PPP1R12A;YTHDC1;RPS6;BOD1L1;NOP2;DDX20;IRF2BP2;LSP1;NFKB2;SSH1;SH3PXD2A;MAP7D3;XIRP1;TLN1;REPS1
The_Kinase_Library_2024,PERK,18/810,8.142609298783571e-09,2.5600915676683936e-08,0,0,6.391042780748663,119.04055444044172,SRRM2;RANBP2;SPAG9;PPP1R12A;FKBP15;ICE1;AHNAK;RPS6;BOD1L1;NOP2;EEF1B2;SH3PXD2A;TBC1D5;STK17B;UBAP2L;TLN1;EIF4B;REPS1
The_Kinase_Library_2024,NEK8,19/915,8.770973541151667e-09,2.7344799863590492e-08,0,0,6.01915644989339,111.66629514415747,SRRM2;RANBP2;PPP1R12A;FKBP15;AHNAK;BOD1L1;DDX20;NFKB2;LIMA1;MYO1E;SH3PXD2A;MAP7D3;TBC1D5;KIF4A;CEP170;CIC;EMD;EIF4B;REPS1
KEA_2015,RPS6KA3,13/332,1.684961306256588e-09,2.920599597511419e-08,0,0,10.938935886975566,220.9831675093556,SRRM2;SPAG9;VASP;AHNAK;RPS6;TSC2;ADD3;PPP3CA;RPS6KA3;CHEK1;RPS6KA1;CIC;EIF4B
