gene,log2FC
RPS6KA3,-1.38508541225428
RPS6KA1,-1.38508541225428
RPS6KB1,-1.38607787235156
STK17B,-1.24862087436129
OXSR1,-1.24677724666109
CHEK1,-1.23547076153824
MAPK3,-1.14615272569683
ABL1,-0.956972982065269
MAP2K2,-0.951022027583699
MAP2K1,-0.951022027583699
TRIM28,-0.914535211832491
NEK9,-1.17198875035811
