gene,log2FC
REPS1,-2.49668486470953
SEPHS2,-1.95293995712254
EEFSEC,-1.94648301880324
XIRP1,-2.03636161703171
CD2,-1.83055889941919
XRCC5,-1.68119407210271
TPR,-1.6455824552261
PAM,-1.58718470679277
TBC1D9B,-1.54526672719413
RPS6KA3,-1.38508541225428
RPS6KA1,-1.38508541225428
MYO1E,-1.5342699977474
JUN,-1.07207108022912
PEX5L,-1.49750499257273
PPP1R12A,-1.41570107389731
MTA1,-1.3862966592654
CEP170,-1.25052806459433
RPS6KB1,-1.38607787235156
CIC,-1.37812581949162
AGFG1,-1.37469047539165
NUP153,-1.55564818963626
GGA2,-1.35901166590861
UBAP2L,-1.32330536090152
JUND,-1.01267535028882
MAP7D3,-1.30622537320305
DOK1,-1.28175331489364
STK17B,-1.24862087436129
OXSR1,-1.24677724666109
EEF1B2,-1.21987105881175
IRF2BP2,-1.21731060534166
C1orf174,-1.19942788340121
ARHGAP5,-1.1988030503544
SSH1,-1.18653303261087
EMD,-1.18582574146972
CHEK1,-1.23547076153824
ARAP1,-1.16606503205205
MAPK3,-1.14615272569683
ADD3,-1.14003683331759
FKBP15,-1.13957010769575
NFKB2,-1.13889848020608
ACACA,-1.54261199269127
MICAL1,-1.12963224840511
SH3PXD2A,-1.12693001414568
SPAG7,-1.12685385664074
SPAG9,-1.12003880701247
GTF2F1,-1.09330562631987
GPATCH8,-1.08695999185385
CDC25C,-1.08248929685004
VASP,-1.08136523690724
RAB14,-1.07877531847107
PACS1,-1.06683919880141
RPTOR,-1.061291458735
KIF4A,-1.27151326066977
YTHDC1,-1.04473624052844
DTNBP1,-1.04361380228895
XRCC6,-1.04230417947522
TSC2,-1.04216913276461
PPP3CB,-1.03505387288742
PPP3CA,-1.03505387288742
STX3,-1.27151326066977
PALLD,-1.03293572073747
BOD1L1,-1.02967675838342
TBC1D5,-1.02948663056413
TLN1,-1.02555177513369
LIMA1,-1.01747954857929
LSP1,-1.01285586637394
AP4B1,-1.01142406387219
CENPV,-1.01060204403936
NUP50,-1.00417956648401
ARL2BP,-1.0028168308914
ICE1,-0.996143233315217
SRRM2,-0.989076647983254
RPS6,-1.17016273413902
AHNAK,-0.987897754464211
EIF4B,-0.977049577015936
RANBP2,-0.976118542086181
RGPD8,-0.976118542086181
NUP107,-0.970871670916273
RBM7,-0.969190165277929
WASHC2C,-0.966181230582963
WASHC2A,-0.966181230582963
ZNF326,-0.960884045595441
STAT3,-0.959774640603417
AQR,-0.9590030150249
ABL1,-0.956972982065269
RANBP1,-0.956233725978463
SATB1,-0.954549817378263
MAP2K2,-0.951022027583699
MAP2K1,-0.951022027583699
GTF2I,-0.950091923336351
RBBP7,-0.944873499694421
NPM1,-0.944001471959881
Uncharacterized,-0.943281748274702
protein,-0.943281748274702
FLJ45253,-0.943281748274702
ARID4B,-0.933191406238568
DCP1A,1.00753961336866
GAB2,-0.93092313811853
MTDH,-0.927814709912417
LAX1,-0.92780661404414
AGFG2,-0.92230057642265
PPP6R2,-0.916783250558526
UBR4,-0.914790697087296
TRIM28,-0.914535211832491
KIF1B,-0.912915177951028
LRRC41,-0.910010462212105
HNRNPA2B1,-0.907144563777026
PML,-0.906716487769327
CLASP1,-0.903920483861232
L3MBTL3,-0.901121788125883
KANK2,-0.898106305483707
TPX2,-0.896173638597303
RAD50,-0.89611321129998
SEC61B,-0.889775185393723
ARHGAP35,-0.887540532551133
TMX1,-0.88688667664321
IQGAP2,-0.88561036451999
ACOX1,-0.885105608274427
PPP1R13L,-0.961925897793073
BTF3L4,-0.927131232877038
BTF3,-0.927131232877038
STAU2,-1.13697101845987
DDI2,-1.36969606873899
C15orf39,-1.17390450187621
PNPLA6,-1.25817176363828
PDS5A,-1.09984614893192
PTPN7,-0.935074350291517
DDX20,-1.31266986775747
NOP2,-1.0875297961868
NEK9,-1.17198875035811
LDLRAP1,0.935979822698244
TFEB,0.889645330311708
SYNE1,1.04114671929726
VSIR,1.97235109118397
F5,0.941213885008932
ARHGAP12,0.941213885008932
RAB11FIP5,0.947150134438916
ILF2,0.970998083055868
C2CD5,1.23961795137165
ARHGEF18,1.49807055494453
FYCO1,-2.09188548475788
